Pick,count,null_count,mean,std,min,25%,50%,75%,max
326,7,0,2.142857142857143,2.3401261667248794,0.0,0.0,2.0,3.5,6.0
327,2,0,3.0,1.4142135623730951,2.0,2.5,3.0,3.5,4.0
328,8,0,4.25,5.7507763451058125,0.0,0.0,1.5,6.5,15.0
329,8,0,3.875,5.303300858899107,0.0,0.0,1.0,6.75,14.0
330,9,0,4.777777777777778,7.102425250887506,0.0,0.0,3.0,5.0,22.0
331,4,0,5.25,6.701989754294367,0.0,1.5,3.0,6.75,15.0
332,4,0,7.75,5.315072906367325,0.0,6.75,9.5,10.5,12.0
333,6,0,6.333333333333333,4.802776974487434,0.0,2.5,8.0,9.0,12.0
334,8,0,7.375,6.7175144212722016,0.0,1.5,6.5,13.5,16.0
335,4,0,3.75,6.18465843842649,0.0,0.75,1.0,4.0,13.0
336,2,0,6.5,0.7071067811865476,6.0,6.25,6.5,6.75,7.0
337,3,0,8.333333333333334,10.408329997330663,0.0,2.5,5.0,12.5,20.0
338,3,0,4.333333333333333,5.859465277082315,0.0,1.0,2.0,6.5,11.0
339,2,0,2.5,3.5355339059327378,0.0,1.25,2.5,3.75,5.0
340,2,0,2.5,0.7071067811865476,2.0,2.25,2.5,2.75,3.0
341,1,0,1.0,,1.0,1.0,1.0,1.0,1.0
342,3,0,11.333333333333334,13.650396819628847,2.0,3.5,5.0,16.0,27.0
343,2,0,14.0,14.142135623730951,4.0,9.0,14.0,19.0,24.0
344,2,0,8.5,10.606601717798213,1.0,4.75,8.5,12.25,16.0
345,1,0,0.0,,0.0,0.0,0.0,0.0,0.0
346,4,0,5.75,1.707825127659933,4.0,4.75,5.5,6.5,8.0
348,2,0,8.0,8.48528137423857,2.0,5.0,8.0,11.0,14.0
349,2,0,11.5,16.263455967290593,0.0,5.75,11.5,17.25,23.0
